Log for WhatsApp Video 2025-07-01 at 13.47.42_cc501e0b.mp4 - 2025-07-01 13:50:27.606784
Frame | Time | AmbulanceDetected | VehicleCount | Congestion | Classes
--------------------------------------------------------------------------------
1 | 13:50:27 | False | 0 | Low | {}
2 | 13:50:28 | False | 0 | Low | {}
3 | 13:50:29 | False | 0 | Low | {}
4 | 13:50:29 | False | 0 | Low | {}
5 | 13:50:29 | False | 0 | Low | {}
6 | 13:50:29 | False | 0 | Low | {}
7 | 13:50:29 | False | 0 | Low | {}
8 | 13:50:29 | False | 0 | Low | {}
9 | 13:50:29 | False | 0 | Low | {}
10 | 13:50:29 | False | 0 | Low | {}
11 | 13:50:29 | False | 0 | Low | {}
12 | 13:50:29 | False | 0 | Low | {}
13 | 13:50:29 | False | 0 | Low | {}
14 | 13:50:29 | False | 0 | Low | {}
15 | 13:50:29 | False | 0 | Low | {}
16 | 13:50:29 | False | 0 | Low | {}
17 | 13:50:30 | False | 0 | Low | {}
18 | 13:50:30 | False | 0 | Low | {}
19 | 13:50:30 | False | 0 | Low | {}
20 | 13:50:30 | False | 0 | Low | {}
21 | 13:50:30 | False | 0 | Low | {}
22 | 13:50:30 | False | 0 | Low | {}
23 | 13:50:30 | False | 0 | Low | {}
24 | 13:50:30 | False | 0 | Low | {}
25 | 13:50:30 | False | 0 | Low | {}
26 | 13:50:30 | False | 0 | Low | {}
27 | 13:50:30 | False | 0 | Low | {}
28 | 13:50:30 | False | 0 | Low | {}
29 | 13:50:30 | False | 0 | Low | {}
30 | 13:50:30 | False | 0 | Low | {}
31 | 13:50:30 | False | 0 | Low | {}
32 | 13:50:30 | False | 0 | Low | {}
33 | 13:50:31 | False | 0 | Low | {}
34 | 13:50:31 | False | 0 | Low | {}
35 | 13:50:31 | False | 0 | Low | {}
36 | 13:50:31 | False | 0 | Low | {}
37 | 13:50:31 | False | 0 | Low | {}
38 | 13:50:31 | False | 0 | Low | {}
39 | 13:50:31 | False | 0 | Low | {}
40 | 13:50:31 | False | 0 | Low | {}
41 | 13:50:31 | False | 0 | Low | {}
42 | 13:50:31 | False | 0 | Low | {}
43 | 13:50:31 | False | 0 | Low | {}
44 | 13:50:31 | False | 0 | Low | {}
45 | 13:50:31 | False | 0 | Low | {}
46 | 13:50:31 | False | 0 | Low | {}
47 | 13:50:31 | False | 0 | Low | {}
48 | 13:50:31 | False | 0 | Low | {}
49 | 13:50:32 | False | 0 | Low | {}
50 | 13:50:32 | False | 0 | Low | {}
51 | 13:50:32 | False | 0 | Low | {}
52 | 13:50:32 | False | 0 | Low | {}
53 | 13:50:32 | False | 0 | Low | {}
54 | 13:50:32 | False | 0 | Low | {}
55 | 13:50:32 | False | 0 | Low | {}
56 | 13:50:32 | False | 0 | Low | {}
57 | 13:50:32 | False | 0 | Low | {}
58 | 13:50:32 | False | 0 | Low | {}
59 | 13:50:32 | False | 0 | Low | {}
60 | 13:50:32 | False | 0 | Low | {}
61 | 13:50:32 | False | 0 | Low | {}
62 | 13:50:32 | True | 1 | Low | {'ambulance': 1}
63 | 13:50:33 | True | 1 | Low | {'ambulance': 1}
64 | 13:50:33 | True | 1 | Low | {'ambulance': 1}
65 | 13:50:33 | True | 2 | Low | {'ambulance': 2}
66 | 13:50:33 | False | 0 | Low | {}
67 | 13:50:33 | False | 0 | Low | {}
68 | 13:50:33 | False | 0 | Low | {}
69 | 13:50:33 | False | 0 | Low | {}
70 | 13:50:33 | False | 0 | Low | {}
71 | 13:50:33 | False | 0 | Low | {}
72 | 13:50:34 | False | 0 | Low | {}
73 | 13:50:34 | False | 0 | Low | {}
74 | 13:50:34 | False | 0 | Low | {}
75 | 13:50:34 | False | 0 | Low | {}
76 | 13:50:34 | False | 0 | Low | {}
77 | 13:50:34 | False | 0 | Low | {}
78 | 13:50:34 | False | 0 | Low | {}
79 | 13:50:34 | False | 0 | Low | {}
80 | 13:50:34 | False | 0 | Low | {}
81 | 13:50:34 | False | 0 | Low | {}
82 | 13:50:34 | False | 0 | Low | {}
83 | 13:50:34 | False | 0 | Low | {}
84 | 13:50:34 | False | 0 | Low | {}
85 | 13:50:34 | False | 0 | Low | {}
86 | 13:50:35 | False | 0 | Low | {}
87 | 13:50:35 | False | 0 | Low | {}
88 | 13:50:35 | False | 0 | Low | {}
89 | 13:50:35 | False | 0 | Low | {}
90 | 13:50:35 | False | 0 | Low | {}
91 | 13:50:35 | False | 0 | Low | {}
92 | 13:50:35 | False | 0 | Low | {}
93 | 13:50:35 | False | 0 | Low | {}
94 | 13:50:36 | False | 0 | Low | {}
95 | 13:50:36 | False | 0 | Low | {}
96 | 13:50:36 | False | 0 | Low | {}
97 | 13:50:36 | False | 0 | Low | {}
98 | 13:50:36 | False | 0 | Low | {}
99 | 13:50:36 | False | 0 | Low | {}
100 | 13:50:36 | False | 0 | Low | {}
101 | 13:50:36 | False | 0 | Low | {}
102 | 13:50:36 | False | 0 | Low | {}
103 | 13:50:36 | False | 0 | Low | {}
104 | 13:50:36 | False | 0 | Low | {}
105 | 13:50:36 | False | 0 | Low | {}
106 | 13:50:36 | False | 0 | Low | {}
107 | 13:50:36 | False | 0 | Low | {}
108 | 13:50:36 | False | 0 | Low | {}
109 | 13:50:37 | False | 0 | Low | {}
110 | 13:50:37 | False | 0 | Low | {}
111 | 13:50:37 | False | 0 | Low | {}
112 | 13:50:37 | False | 0 | Low | {}
113 | 13:50:37 | False | 0 | Low | {}
114 | 13:50:37 | False | 0 | Low | {}
115 | 13:50:37 | False | 0 | Low | {}
116 | 13:50:37 | False | 0 | Low | {}
117 | 13:50:37 | False | 0 | Low | {}
118 | 13:50:37 | False | 0 | Low | {}
119 | 13:50:37 | False | 0 | Low | {}
120 | 13:50:37 | False | 0 | Low | {}
121 | 13:50:37 | False | 0 | Low | {}
122 | 13:50:37 | False | 0 | Low | {}
123 | 13:50:37 | False | 0 | Low | {}
124 | 13:50:38 | False | 0 | Low | {}
125 | 13:50:38 | False | 0 | Low | {}
126 | 13:50:38 | False | 0 | Low | {}
127 | 13:50:38 | False | 0 | Low | {}
128 | 13:50:38 | False | 0 | Low | {}
129 | 13:50:38 | False | 0 | Low | {}
130 | 13:50:38 | False | 0 | Low | {}
131 | 13:50:38 | False | 0 | Low | {}
132 | 13:50:38 | False | 0 | Low | {}
133 | 13:50:38 | False | 0 | Low | {}
134 | 13:50:38 | False | 0 | Low | {}
135 | 13:50:38 | False | 0 | Low | {}
136 | 13:50:38 | False | 0 | Low | {}
137 | 13:50:38 | False | 0 | Low | {}
138 | 13:50:38 | False | 0 | Low | {}
139 | 13:50:39 | False | 0 | Low | {}
140 | 13:50:39 | False | 0 | Low | {}
141 | 13:50:39 | False | 0 | Low | {}
142 | 13:50:39 | False | 0 | Low | {}
143 | 13:50:39 | False | 0 | Low | {}
144 | 13:50:39 | False | 0 | Low | {}
145 | 13:50:39 | False | 0 | Low | {}
146 | 13:50:39 | False | 0 | Low | {}
147 | 13:50:39 | False | 0 | Low | {}
148 | 13:50:39 | False | 0 | Low | {}
149 | 13:50:39 | False | 0 | Low | {}
150 | 13:50:39 | False | 0 | Low | {}
151 | 13:50:39 | False | 0 | Low | {}
152 | 13:50:39 | False | 0 | Low | {}
153 | 13:50:39 | False | 0 | Low | {}
154 | 13:50:40 | False | 0 | Low | {}
155 | 13:50:40 | False | 0 | Low | {}
156 | 13:50:40 | False | 0 | Low | {}
157 | 13:50:40 | False | 0 | Low | {}
158 | 13:50:40 | False | 0 | Low | {}
159 | 13:50:40 | False | 0 | Low | {}
160 | 13:50:40 | False | 0 | Low | {}
161 | 13:50:40 | False | 0 | Low | {}
162 | 13:50:40 | False | 0 | Low | {}
163 | 13:50:40 | False | 0 | Low | {}
164 | 13:50:40 | False | 0 | Low | {}
165 | 13:50:40 | False | 0 | Low | {}
166 | 13:50:40 | False | 0 | Low | {}
167 | 13:50:40 | False | 0 | Low | {}
168 | 13:50:40 | False | 0 | Low | {}
169 | 13:50:41 | False | 0 | Low | {}
170 | 13:50:41 | False | 0 | Low | {}
171 | 13:50:41 | False | 0 | Low | {}
172 | 13:50:41 | False | 0 | Low | {}
173 | 13:50:41 | False | 0 | Low | {}
174 | 13:50:41 | False | 0 | Low | {}
175 | 13:50:41 | False | 0 | Low | {}
176 | 13:50:41 | False | 0 | Low | {}
177 | 13:50:41 | False | 0 | Low | {}
178 | 13:50:41 | False | 0 | Low | {}
179 | 13:50:41 | False | 0 | Low | {}
180 | 13:50:41 | False | 0 | Low | {}
181 | 13:50:41 | False | 0 | Low | {}
182 | 13:50:41 | False | 0 | Low | {}
183 | 13:50:41 | False | 0 | Low | {}
184 | 13:50:41 | False | 0 | Low | {}
185 | 13:50:42 | False | 0 | Low | {}
186 | 13:50:42 | False | 0 | Low | {}
187 | 13:50:42 | False | 0 | Low | {}
188 | 13:50:42 | False | 0 | Low | {}
189 | 13:50:42 | False | 0 | Low | {}
190 | 13:50:42 | False | 0 | Low | {}
191 | 13:50:42 | False | 0 | Low | {}
192 | 13:50:42 | False | 0 | Low | {}
193 | 13:50:42 | False | 0 | Low | {}
194 | 13:50:42 | False | 0 | Low | {}
195 | 13:50:42 | False | 0 | Low | {}
196 | 13:50:42 | False | 0 | Low | {}
197 | 13:50:42 | False | 0 | Low | {}
198 | 13:50:42 | False | 0 | Low | {}
199 | 13:50:43 | False | 0 | Low | {}
200 | 13:50:43 | False | 0 | Low | {}
201 | 13:50:43 | False | 0 | Low | {}
202 | 13:50:43 | False | 0 | Low | {}
203 | 13:50:43 | False | 0 | Low | {}
204 | 13:50:43 | False | 0 | Low | {}
205 | 13:50:43 | False | 0 | Low | {}
206 | 13:50:43 | False | 0 | Low | {}
207 | 13:50:43 | False | 0 | Low | {}
208 | 13:50:43 | False | 0 | Low | {}
209 | 13:50:43 | False | 0 | Low | {}
210 | 13:50:43 | False | 0 | Low | {}
211 | 13:50:43 | False | 0 | Low | {}
212 | 13:50:43 | False | 0 | Low | {}
213 | 13:50:43 | False | 0 | Low | {}
214 | 13:50:43 | False | 0 | Low | {}
215 | 13:50:44 | False | 0 | Low | {}
216 | 13:50:44 | False | 0 | Low | {}
217 | 13:50:44 | False | 0 | Low | {}
218 | 13:50:44 | False | 0 | Low | {}
219 | 13:50:44 | False | 0 | Low | {}
220 | 13:50:44 | False | 0 | Low | {}
221 | 13:50:44 | False | 0 | Low | {}
222 | 13:50:44 | False | 0 | Low | {}
223 | 13:50:44 | False | 0 | Low | {}
224 | 13:50:44 | False | 0 | Low | {}
225 | 13:50:44 | False | 0 | Low | {}
226 | 13:50:44 | False | 0 | Low | {}
227 | 13:50:44 | False | 0 | Low | {}
228 | 13:50:44 | False | 0 | Low | {}
229 | 13:50:44 | False | 0 | Low | {}
230 | 13:50:45 | False | 0 | Low | {}
231 | 13:50:45 | False | 0 | Low | {}
232 | 13:50:45 | False | 0 | Low | {}
233 | 13:50:45 | False | 0 | Low | {}
234 | 13:50:45 | False | 0 | Low | {}
235 | 13:50:45 | False | 0 | Low | {}
236 | 13:50:45 | False | 0 | Low | {}
237 | 13:50:45 | False | 0 | Low | {}
238 | 13:50:45 | False | 0 | Low | {}
239 | 13:50:45 | False | 0 | Low | {}
240 | 13:50:45 | False | 0 | Low | {}
241 | 13:50:45 | False | 0 | Low | {}
242 | 13:50:45 | False | 0 | Low | {}
243 | 13:50:45 | False | 0 | Low | {}
244 | 13:50:45 | False | 0 | Low | {}
245 | 13:50:45 | False | 0 | Low | {}
246 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
247 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
248 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
249 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
250 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
251 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
252 | 13:50:46 | False | 0 | Low | {}
253 | 13:50:46 | False | 0 | Low | {}
254 | 13:50:46 | False | 0 | Low | {}
255 | 13:50:46 | False | 0 | Low | {}
256 | 13:50:46 | True | 1 | Low | {'ambulance': 1}
257 | 13:50:46 | False | 0 | Low | {}
258 | 13:50:46 | False | 0 | Low | {}
259 | 13:50:47 | False | 0 | Low | {}
260 | 13:50:47 | False | 0 | Low | {}
261 | 13:50:47 | True | 1 | Low | {'ambulance': 1}
262 | 13:50:47 | False | 0 | Low | {}
263 | 13:50:47 | False | 0 | Low | {}
264 | 13:50:47 | False | 0 | Low | {}
265 | 13:50:47 | False | 0 | Low | {}
266 | 13:50:47 | False | 0 | Low | {}
267 | 13:50:47 | False | 0 | Low | {}
268 | 13:50:47 | False | 0 | Low | {}
269 | 13:50:47 | False | 0 | Low | {}
270 | 13:50:47 | False | 0 | Low | {}
271 | 13:50:47 | False | 0 | Low | {}
272 | 13:50:47 | False | 0 | Low | {}
273 | 13:50:47 | False | 0 | Low | {}
274 | 13:50:48 | True | 1 | Low | {'ambulance': 1}
275 | 13:50:48 | False | 0 | Low | {}
276 | 13:50:48 | False | 0 | Low | {}
277 | 13:50:48 | False | 0 | Low | {}
278 | 13:50:48 | False | 0 | Low | {}
279 | 13:50:48 | False | 0 | Low | {}
280 | 13:50:48 | False | 0 | Low | {}
281 | 13:50:48 | False | 0 | Low | {}
282 | 13:50:48 | False | 0 | Low | {}
283 | 13:50:48 | False | 0 | Low | {}
284 | 13:50:48 | False | 0 | Low | {}
285 | 13:50:48 | False | 0 | Low | {}
286 | 13:50:48 | False | 0 | Low | {}
287 | 13:50:48 | True | 1 | Low | {'ambulance': 1}
288 | 13:50:48 | True | 1 | Low | {'ambulance': 1}
289 | 13:50:49 | True | 1 | Low | {'ambulance': 1}
290 | 13:50:49 | False | 0 | Low | {}
291 | 13:50:49 | False | 0 | Low | {}
292 | 13:50:49 | True | 1 | Low | {'ambulance': 1}
293 | 13:50:49 | False | 0 | Low | {}
294 | 13:50:49 | False | 0 | Low | {}
295 | 13:50:49 | False | 0 | Low | {}
296 | 13:50:49 | False | 0 | Low | {}
297 | 13:50:49 | False | 0 | Low | {}
298 | 13:50:49 | False | 0 | Low | {}
299 | 13:50:49 | False | 0 | Low | {}
300 | 13:50:49 | False | 0 | Low | {}
301 | 13:50:49 | False | 0 | Low | {}
302 | 13:50:49 | False | 0 | Low | {}
303 | 13:50:49 | True | 1 | Low | {'ambulance': 1}
304 | 13:50:50 | False | 0 | Low | {}
305 | 13:50:50 | False | 0 | Low | {}
306 | 13:50:50 | False | 0 | Low | {}
307 | 13:50:50 | False | 0 | Low | {}
308 | 13:50:50 | False | 0 | Low | {}
309 | 13:50:50 | False | 0 | Low | {}
310 | 13:50:50 | False | 0 | Low | {}
311 | 13:50:50 | False | 0 | Low | {}
312 | 13:50:51 | False | 0 | Low | {}
313 | 13:50:51 | False | 0 | Low | {}
314 | 13:50:51 | False | 0 | Low | {}
315 | 13:50:51 | False | 0 | Low | {}
316 | 13:50:51 | False | 0 | Low | {}
317 | 13:50:51 | False | 0 | Low | {}
318 | 13:50:51 | False | 0 | Low | {}
319 | 13:50:51 | False | 0 | Low | {}
320 | 13:50:51 | False | 0 | Low | {}
321 | 13:50:51 | False | 0 | Low | {}
322 | 13:50:51 | False | 0 | Low | {}
323 | 13:50:51 | False | 0 | Low | {}
324 | 13:50:51 | False | 0 | Low | {}
325 | 13:50:51 | False | 0 | Low | {}
326 | 13:50:52 | False | 0 | Low | {}
327 | 13:50:52 | False | 0 | Low | {}
328 | 13:50:52 | False | 0 | Low | {}
329 | 13:50:52 | False | 0 | Low | {}
330 | 13:50:52 | False | 0 | Low | {}
331 | 13:50:52 | False | 0 | Low | {}
332 | 13:50:52 | False | 0 | Low | {}
333 | 13:50:52 | False | 0 | Low | {}
334 | 13:50:52 | False | 0 | Low | {}
335 | 13:50:52 | False | 0 | Low | {}
336 | 13:50:52 | False | 0 | Low | {}
337 | 13:50:52 | False | 0 | Low | {}
