Live Detection Started: 2025-07-01 16:50:49.964156
Frame | Time | AmbulanceDetected | VehicleCount | Congestion | Classes
--------------------------------------------------------------------------------
1 | 16:50:50 | False | 0 | Low | {}
2 | 16:50:53 | True | 1 | Low | {'ambulance': 1}
3 | 16:50:54 | True | 1 | Low | {'ambulance': 1}
4 | 16:50:54 | True | 1 | Low | {'ambulance': 1}
5 | 16:50:54 | True | 1 | Low | {'ambulance': 1}
6 | 16:50:55 | True | 1 | Low | {'ambulance': 1}
7 | 16:50:55 | True | 1 | Low | {'ambulance': 1}
8 | 16:50:55 | True | 1 | Low | {'ambulance': 1}
9 | 16:50:55 | True | 1 | Low | {'ambulance': 1}
10 | 16:50:56 | True | 1 | Low | {'ambulance': 1}
11 | 16:50:56 | True | 1 | Low | {'ambulance': 1}
12 | 16:50:56 | True | 1 | Low | {'ambulance': 1}
13 | 16:50:57 | True | 1 | Low | {'ambulance': 1}
14 | 16:51:00 | False | 0 | Low | {}
15 | 16:51:00 | False | 0 | Low | {}
16 | 16:51:00 | True | 1 | Low | {'ambulance': 1}
17 | 16:51:01 | True | 1 | Low | {'ambulance': 1}
18 | 16:51:01 | True | 1 | Low | {'ambulance': 1}
19 | 16:51:01 | True | 1 | Low | {'ambulance': 1}
20 | 16:51:01 | True | 1 | Low | {'ambulance': 1}
21 | 16:51:01 | True | 1 | Low | {'ambulance': 1}
22 | 16:51:02 | False | 0 | Low | {}
23 | 16:51:02 | True | 1 | Low | {'ambulance': 1}
24 | 16:51:02 | True | 1 | Low | {'ambulance': 1}
25 | 16:51:02 | True | 1 | Low | {'ambulance': 1}
26 | 16:51:03 | True | 1 | Low | {'ambulance': 1}
27 | 16:51:03 | True | 1 | Low | {'ambulance': 1}
28 | 16:51:03 | True | 1 | Low | {'ambulance': 1}
29 | 16:51:04 | True | 1 | Low | {'ambulance': 1}
30 | 16:51:04 | True | 1 | Low | {'ambulance': 1}
31 | 16:51:04 | True | 1 | Low | {'ambulance': 1}
32 | 16:51:04 | True | 1 | Low | {'ambulance': 1}
33 | 16:51:05 | True | 1 | Low | {'ambulance': 1}
34 | 16:51:05 | True | 1 | Low | {'ambulance': 1}
35 | 16:51:05 | True | 1 | Low | {'ambulance': 1}
36 | 16:51:05 | True | 1 | Low | {'ambulance': 1}
37 | 16:51:06 | True | 1 | Low | {'ambulance': 1}
38 | 16:51:06 | True | 1 | Low | {'ambulance': 1}
39 | 16:51:06 | True | 1 | Low | {'ambulance': 1}
40 | 16:51:06 | True | 1 | Low | {'ambulance': 1}
41 | 16:51:07 | True | 1 | Low | {'ambulance': 1}
42 | 16:51:07 | True | 2 | Low | {'ambulance': 2}
43 | 16:51:07 | True | 1 | Low | {'ambulance': 1}
44 | 16:51:07 | True | 1 | Low | {'ambulance': 1}
45 | 16:51:08 | False | 0 | Low | {}
46 | 16:51:08 | False | 0 | Low | {}
47 | 16:51:08 | False | 0 | Low | {}
48 | 16:51:08 | True | 1 | Low | {'ambulance': 1}
49 | 16:51:09 | True | 1 | Low | {'ambulance': 1}
50 | 16:51:09 | True | 1 | Low | {'ambulance': 1}
51 | 16:51:09 | True | 1 | Low | {'ambulance': 1}
52 | 16:51:09 | True | 1 | Low | {'ambulance': 1}
53 | 16:51:10 | False | 0 | Low | {}
54 | 16:51:10 | False | 0 | Low | {}
55 | 16:51:10 | False | 0 | Low | {}
56 | 16:51:10 | False | 0 | Low | {}
57 | 16:51:11 | False | 0 | Low | {}
58 | 16:51:11 | False | 0 | Low | {}
59 | 16:51:11 | True | 1 | Low | {'ambulance': 1}
60 | 16:51:11 | True | 1 | Low | {'ambulance': 1}
61 | 16:51:12 | True | 1 | Low | {'ambulance': 1}
62 | 16:51:12 | True | 1 | Low | {'ambulance': 1}
63 | 16:51:12 | True | 1 | Low | {'ambulance': 1}
64 | 16:51:12 | True | 1 | Low | {'ambulance': 1}
65 | 16:51:13 | True | 1 | Low | {'ambulance': 1}
66 | 16:51:13 | True | 1 | Low | {'ambulance': 1}
67 | 16:51:13 | True | 1 | Low | {'ambulance': 1}
68 | 16:51:13 | True | 1 | Low | {'ambulance': 1}
69 | 16:51:14 | True | 1 | Low | {'ambulance': 1}
70 | 16:51:14 | True | 1 | Low | {'ambulance': 1}
71 | 16:51:14 | True | 1 | Low | {'ambulance': 1}
72 | 16:51:14 | True | 1 | Low | {'ambulance': 1}
73 | 16:51:15 | True | 1 | Low | {'ambulance': 1}
74 | 16:51:15 | False | 0 | Low | {}
75 | 16:51:15 | True | 1 | Low | {'ambulance': 1}
76 | 16:51:15 | True | 2 | Low | {'ambulance': 2}
77 | 16:51:16 | True | 1 | Low | {'ambulance': 1}
78 | 16:51:16 | True | 1 | Low | {'ambulance': 1}
79 | 16:51:16 | True | 1 | Low | {'ambulance': 1}
80 | 16:51:16 | True | 1 | Low | {'ambulance': 1}
81 | 16:51:17 | True | 1 | Low | {'ambulance': 1}
82 | 16:51:17 | True | 1 | Low | {'ambulance': 1}
83 | 16:51:17 | True | 1 | Low | {'ambulance': 1}
84 | 16:51:17 | True | 1 | Low | {'ambulance': 1}
85 | 16:51:18 | True | 1 | Low | {'ambulance': 1}
86 | 16:51:18 | True | 1 | Low | {'ambulance': 1}
87 | 16:51:18 | True | 1 | Low | {'ambulance': 1}
88 | 16:51:18 | True | 1 | Low | {'ambulance': 1}
89 | 16:51:19 | True | 1 | Low | {'ambulance': 1}
90 | 16:51:19 | True | 1 | Low | {'ambulance': 1}
91 | 16:51:19 | True | 1 | Low | {'ambulance': 1}
92 | 16:51:19 | True | 1 | Low | {'ambulance': 1}
93 | 16:51:20 | True | 1 | Low | {'ambulance': 1}
94 | 16:51:20 | True | 1 | Low | {'ambulance': 1}
95 | 16:51:20 | True | 1 | Low | {'ambulance': 1}
96 | 16:51:20 | True | 1 | Low | {'ambulance': 1}
97 | 16:51:21 | True | 1 | Low | {'ambulance': 1}
98 | 16:51:21 | True | 1 | Low | {'ambulance': 1}
99 | 16:51:21 | True | 1 | Low | {'ambulance': 1}
100 | 16:51:22 | True | 1 | Low | {'ambulance': 1}
101 | 16:51:22 | True | 1 | Low | {'ambulance': 1}
102 | 16:51:22 | True | 1 | Low | {'ambulance': 1}
103 | 16:51:22 | False | 0 | Low | {}
104 | 16:51:23 | True | 1 | Low | {'ambulance': 1}
105 | 16:51:23 | True | 1 | Low | {'ambulance': 1}
106 | 16:51:23 | True | 1 | Low | {'ambulance': 1}
107 | 16:51:23 | True | 1 | Low | {'ambulance': 1}
108 | 16:51:24 | False | 0 | Low | {}
109 | 16:51:24 | True | 1 | Low | {'ambulance': 1}
110 | 16:51:24 | True | 1 | Low | {'ambulance': 1}
111 | 16:51:24 | True | 1 | Low | {'ambulance': 1}
112 | 16:51:25 | False | 0 | Low | {}
113 | 16:51:25 | True | 1 | Low | {'ambulance': 1}
114 | 16:51:25 | True | 1 | Low | {'ambulance': 1}
115 | 16:51:25 | True | 1 | Low | {'ambulance': 1}
116 | 16:51:26 | True | 1 | Low | {'ambulance': 1}
117 | 16:51:26 | False | 0 | Low | {}
118 | 16:51:26 | True | 1 | Low | {'ambulance': 1}
119 | 16:51:26 | True | 1 | Low | {'ambulance': 1}
120 | 16:51:27 | True | 1 | Low | {'ambulance': 1}
121 | 16:51:27 | True | 2 | Low | {'ambulance': 2}
122 | 16:51:27 | True | 2 | Low | {'ambulance': 2}
123 | 16:51:27 | True | 1 | Low | {'ambulance': 1}
