epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3713,0.68455,1.75099,0.98123,1,0.44733,0.95727,0.7111,0.76348,2.50665,1.01882,0.00052,0.00052,0.00052
2,169.991,0.76457,1.23721,1.00657,0.94142,0.52262,0.78319,0.53025,0.99972,2.60704,1.18258,0.00103901,0.00103901,0.00103901
3,254.083,0.79301,1.18157,1.03414,0.80831,0.69919,0.78324,0.5368,1.00113,1.72277,1.17898,0.00153664,0.00153664,0.00153664
4,516.732,0.88345,1.14107,1.07158,0.6609,0.66667,0.73203,0.48849,1.08567,1.89936,1.25166,0.0018812,0.0018812,0.0018812
5,599.41,0.90217,1.06918,1.06291,0.79568,0.89431,0.92199,0.67473,0.92248,1.40176,1.13216,0.0018416,0.0018416,0.0018416
6,682.947,0.80171,0.9107,1.01833,0.7517,0.52033,0.62378,0.45613,0.92153,2.28978,1.12038,0.001802,0.001802,0.001802
7,799.299,0.78344,0.84302,1.0202,0.96638,0.93487,0.97454,0.72811,0.87021,0.87014,1.0729,0.0017624,0.0017624,0.0017624
8,904.342,0.76371,0.80042,1.02158,0.87326,0.89632,0.94354,0.72971,0.84348,0.91747,1.04682,0.0017228,0.0017228,0.0017228
9,990.847,0.729,0.74706,0.9999,0.95506,0.94309,0.98508,0.76509,0.76072,0.77952,1.00951,0.0016832,0.0016832,0.0016832
10,1076.39,0.74435,0.70621,1.00575,0.97404,0.95122,0.98379,0.78513,0.73609,0.6539,0.99498,0.0016436,0.0016436,0.0016436
11,1156.57,0.72113,0.66269,0.99268,0.93189,0.95122,0.97982,0.74129,0.82556,0.69611,1.02491,0.001604,0.001604,0.001604
12,1233.99,0.73769,0.65354,1.01622,0.95856,0.97561,0.97349,0.75782,0.78132,0.70384,1.03509,0.0015644,0.0015644,0.0015644
13,1311.09,0.71287,0.61022,0.99111,0.93677,0.80488,0.9237,0.68266,0.8154,0.84523,1.0584,0.0015248,0.0015248,0.0015248
14,1400.96,0.71178,0.60895,0.99385,0.86424,0.93158,0.93779,0.7534,0.73688,0.7538,0.99603,0.0014852,0.0014852,0.0014852
15,1493.73,0.71612,0.59442,0.97437,0.88127,0.90521,0.95109,0.7714,0.72113,0.73772,0.99191,0.0014456,0.0014456,0.0014456
16,1587.03,0.66021,0.55065,0.96989,0.9918,0.98304,0.99076,0.81055,0.67519,0.48246,0.98121,0.001406,0.001406,0.001406
17,1679.95,0.62807,0.51441,0.96532,0.98186,0.97561,0.98667,0.80663,0.64918,0.46006,0.95442,0.0013664,0.0013664,0.0013664
18,1772.62,0.64015,0.5164,0.95487,0.99179,0.9826,0.99308,0.81943,0.65404,0.4731,0.96484,0.0013268,0.0013268,0.0013268
19,1865.38,0.64953,0.50567,0.95375,0.99947,0.98374,0.99218,0.82625,0.59609,0.44816,0.93008,0.0012872,0.0012872,0.0012872
20,1958.5,0.66262,0.52051,0.95572,0.98845,0.98374,0.98527,0.8193,0.63179,0.44088,0.9306,0.0012476,0.0012476,0.0012476
21,2051.17,0.62976,0.49076,0.94921,0.98896,0.97561,0.98472,0.80849,0.66405,0.44324,0.97278,0.001208,0.001208,0.001208
22,2144.3,0.60755,0.47997,0.95313,0.99007,0.96748,0.98277,0.82288,0.63135,0.43489,0.97173,0.0011684,0.0011684,0.0011684
23,2237.13,0.60262,0.45239,0.95143,0.99071,0.98374,0.98588,0.82858,0.62481,0.41445,0.96824,0.0011288,0.0011288,0.0011288
24,2329.85,0.59369,0.45433,0.94429,1,0.98256,0.9855,0.82657,0.59148,0.38045,0.93628,0.0010892,0.0010892,0.0010892
25,2422.62,0.57472,0.44466,0.93411,0.99934,0.98374,0.98542,0.82593,0.59966,0.37071,0.9308,0.0010496,0.0010496,0.0010496
26,2515.75,0.58527,0.4388,0.94227,0.99091,0.98374,0.98547,0.84335,0.60473,0.38212,0.93048,0.00101,0.00101,0.00101
27,2608.53,0.54382,0.41165,0.92699,0.99899,0.98374,0.98881,0.8521,0.56899,0.35919,0.93886,0.0009704,0.0009704,0.0009704
28,2701.41,0.57179,0.42998,0.92969,0.99917,0.98374,0.98879,0.8538,0.56543,0.34894,0.92021,0.0009308,0.0009308,0.0009308
29,2793.99,0.5534,0.40715,0.92708,0.99861,0.97561,0.99197,0.8377,0.57243,0.3523,0.92832,0.0008912,0.0008912,0.0008912
30,2872.35,0.55041,0.4008,0.92723,0.99994,0.98374,0.98569,0.83463,0.6228,0.34903,0.94438,0.0008516,0.0008516,0.0008516
31,2948.9,0.57339,0.39703,0.93514,0.99886,0.98374,0.9858,0.85377,0.55259,0.33544,0.91435,0.000812,0.000812,0.000812
32,3025.41,0.54167,0.38487,0.91448,0.99929,0.98374,0.98573,0.84385,0.56727,0.32505,0.92636,0.0007724,0.0007724,0.0007724
33,3113,0.54499,0.3752,0.92086,0.99941,0.98374,0.98565,0.84977,0.56716,0.32157,0.9235,0.0007328,0.0007328,0.0007328
34,3205.52,0.5607,0.38848,0.93268,0.99944,0.98374,0.98996,0.84985,0.56414,0.32516,0.9198,0.0006932,0.0006932,0.0006932
35,3298.55,0.53209,0.3685,0.91456,0.99972,0.98374,0.98549,0.85725,0.5463,0.31713,0.91932,0.0006536,0.0006536,0.0006536
36,3391.82,0.5158,0.36624,0.90887,0.99909,0.98374,0.98545,0.85623,0.5482,0.31516,0.92873,0.000614,0.000614,0.000614
37,3485.3,0.49905,0.34825,0.89422,0.99929,0.98374,0.98565,0.85159,0.56516,0.31737,0.92898,0.0005744,0.0005744,0.0005744
38,3578.75,0.49468,0.34494,0.89221,0.99989,0.98374,0.98592,0.85085,0.55233,0.30244,0.92559,0.0005348,0.0005348,0.0005348
39,3672.08,0.50509,0.34509,0.91329,0.99931,0.98374,0.9855,0.8518,0.54432,0.30156,0.92241,0.0004952,0.0004952,0.0004952
40,3765.56,0.49621,0.34395,0.90529,0.99955,0.98374,0.98587,0.85316,0.55721,0.30589,0.92677,0.0004556,0.0004556,0.0004556
41,3854.01,0.43853,0.29971,0.86237,0.99958,0.98374,0.98596,0.83981,0.55803,0.31734,0.92392,0.000416,0.000416,0.000416
42,3934.7,0.41904,0.28948,0.85334,0.99981,0.98374,0.98597,0.85574,0.55217,0.30692,0.91698,0.0003764,0.0003764,0.0003764
43,4011.45,0.41216,0.27598,0.8577,0.99926,0.98374,0.98602,0.83812,0.55031,0.3032,0.9138,0.0003368,0.0003368,0.0003368
44,4087.89,0.42802,0.2755,0.86369,0.99936,0.98374,0.98975,0.86438,0.52599,0.29532,0.90635,0.0002972,0.0002972,0.0002972
45,4174.01,0.41572,0.27369,0.86064,0.99947,0.97561,0.98664,0.8586,0.54957,0.30997,0.91879,0.0002576,0.0002576,0.0002576
46,4265.34,0.41488,0.27491,0.86765,0.99934,0.98374,0.98774,0.86663,0.53674,0.29087,0.91743,0.000218,0.000218,0.000218
47,4357.21,0.38035,0.25747,0.84809,0.99906,0.98374,0.98779,0.87697,0.51743,0.28398,0.90125,0.0001784,0.0001784,0.0001784
48,4448.85,0.38731,0.25798,0.83647,0.99907,0.98374,0.9881,0.88288,0.50881,0.27427,0.90055,0.0001388,0.0001388,0.0001388
49,4540.48,0.37761,0.25383,0.83165,0.99937,0.98374,0.9881,0.88451,0.50389,0.26671,0.89847,9.92e-05,9.92e-05,9.92e-05
50,4632.95,0.36562,0.23865,0.82531,0.99944,0.98374,0.98826,0.88359,0.49616,0.26413,0.89783,5.96e-05,5.96e-05,5.96e-05
